Fajl neve;LB1;LB2;LB3;LB4;LB5;LB6;Max;Max tipusa
2d_class1_100_01.csv;52;55;51;60;35;35;60;LB4
2d_class1_100_02.csv;57;59;63;63;39;38;63;LB3
2d_class1_100_03.csv;49;52;45;51;30;33;52;LB2
2d_class1_100_04.csv;52;52;50;52;34;36;52;LB1
2d_class1_1000_01.csv;524;505;539;499;349;329;539;LB3
2d_class1_1000_02.csv;504;508;505;503;330;334;508;LB2
2d_class1_1000_03.csv;508;499;495;484;342;338;508;LB1
2d_class1_1000_04.csv;477;490;473;492;321;319;492;LB4
2d_class1_500_01.csv;244;253;240;249;168;167;253;LB2
2d_class1_500_02.csv;243;255;237;267;164;172;267;LB4
2d_class1_500_03.csv;255;250;254;247;171;167;255;LB1
2d_class1_500_04.csv;253;258;258;261;174;172;261;LB4
2d_class2_100_01.csv;25;25;0;0;13;11;25;LB1
2d_class2_100_02.csv;25;26;0;0;12;13;26;LB2
2d_class2_100_03.csv;25;26;0;0;11;13;26;LB2
2d_class2_100_04.csv;25;27;0;0;13;11;27;LB2
2d_class2_1000_01.csv;247;252;0;0;99;126;252;LB2
2d_class2_1000_02.csv;245;254;0;0;99;117;254;LB2
2d_class2_1000_03.csv;253;250;0;0;110;105;253;LB1
2d_class2_1000_04.csv;254;253;0;0;118;116;254;LB1
2d_class2_500_01.csv;125;126;0;0;51;57;126;LB2
2d_class2_500_02.csv;125;127;0;0;52;54;127;LB2
2d_class2_500_03.csv;124;126;0;0;53;59;126;LB2
2d_class2_500_04.csv;124;124;0;0;52;59;124;LB1
2d_class3_100_01.csv;49;51;50;50;26;25;51;LB2
2d_class3_100_02.csv;51;50;50;50;28;28;51;LB1
2d_class3_100_03.csv;49;51;50;50;27;26;51;LB2
2d_class3_100_04.csv;52;49;50;50;28;26;52;LB1
2d_class3_1000_01.csv;502;499;500;500;264;263;502;LB1
2d_class3_1000_02.csv;502;504;500;500;260;263;504;LB2
2d_class3_1000_03.csv;509;497;500;500;265;264;509;LB1
2d_class3_1000_04.csv;499;502;500;500;258;261;502;LB2
2d_class3_500_01.csv;254;252;250;250;132;131;254;LB1
2d_class3_500_02.csv;254;249;250;250;130;132;254;LB1
2d_class3_500_03.csv;252;250;250;250;134;132;252;LB1
2d_class3_500_04.csv;252;251;250;250;132;133;252;LB1
2d_class4_100_01.csv;32;32;20;20;13;11;32;LB1
2d_class4_100_02.csv;31;32;20;20;11;11;32;LB2
2d_class4_100_03.csv;30;31;20;20;12;12;31;LB2
2d_class4_100_04.csv;31;31;20;20;13;13;31;LB1
2d_class4_1000_01.csv;309;314;200;200;120;124;314;LB2
2d_class4_1000_02.csv;314;310;200;200;123;120;314;LB1
2d_class4_1000_03.csv;310;314;200;200;119;125;314;LB2
2d_class4_1000_04.csv;311;313;200;200;126;123;313;LB2
2d_class4_500_01.csv;151;156;100;100;61;65;156;LB2
2d_class4_500_02.csv;154;156;100;100;64;63;156;LB2
2d_class4_500_03.csv;159;153;100;100;64;63;159;LB1
2d_class4_500_04.csv;156;157;100;100;61;62;157;LB2
2d_class5_100_01.csv;44;45;49;50;25;25;50;LB4
2d_class5_100_02.csv;46;43;50;50;25;25;50;LB3
2d_class5_100_03.csv;43;43;50;50;25;25;50;LB3
2d_class5_100_04.csv;42;43;50;50;25;25;50;LB3
2d_class5_1000_01.csv;440;435;500;500;250;250;500;LB3
2d_class5_1000_02.csv;437;439;500;499;250;250;500;LB3
2d_class5_1000_03.csv;435;444;498;500;250;250;500;LB4
2d_class5_1000_04.csv;439;436;499;498;250;250;499;LB3
2d_class5_500_01.csv;217;217;250;250;125;125;250;LB3
2d_class5_500_02.csv;219;217;250;250;125;125;250;LB3
2d_class5_500_03.csv;221;222;249;250;125;125;250;LB4
2d_class5_500_04.csv;221;223;250;249;125;125;250;LB3
2d_class6_100_01.csv;30;6;0;0;9;0;30;LB1
2d_class6_100_02.csv;30;6;0;0;11;0;30;LB1
2d_class6_100_03.csv;30;6;0;0;7;0;30;LB1
2d_class6_100_04.csv;31;5;0;0;9;0;31;LB1
2d_class6_1000_01.csv;300;52;0;0;77;0;300;LB1
2d_class6_1000_02.csv;301;51;0;0;94;0;301;LB1
2d_class6_1000_03.csv;299;52;0;0;73;0;299;LB1
2d_class6_1000_04.csv;301;51;0;0;89;0;301;LB1
2d_class6_500_01.csv;151;26;0;0;45;0;151;LB1
2d_class6_500_02.csv;150;26;0;0;41;0;150;LB1
2d_class6_500_03.csv;150;26;0;0;42;0;150;LB1
2d_class6_500_04.csv;151;27;0;0;47;0;151;LB1
