Összeg / ladak_szama;Oszlopcímkék;;;;;;;;;;;;;;;;;;;
Sorcímkék;dot_product1_lada_average;dot_product1_lada_exponential;dot_product1_lada_reciprocal_average;dot_product2_lada_average;dot_product2_lada_exponential;dot_product2_lada_reciprocal_average;FFD_avg_elem;FFD_avg_lada;FFD_prod_elem;FFD_prod_lada;FFD_sum_elem;FFD_sum_lada;l2_norm_of_slacks_lada_average;l2_norm_of_slacks_lada_exponential;l2_norm_of_slacks_lada_reciprocal_average;Végösszeg;Min;;;
class1\2d_class1_100_01.csv;64;64;64;66;65;65;64;64;64;64;64;64;64;64;64;964;64;dot_product1_lada_average;60;4
class1\2d_class1_100_02.csv;75;75;75;76;76;75;75;75;75;75;75;75;75;75;75;1127;75;dot_product1_lada_average;63;12
class1\2d_class1_100_03.csv;58;58;58;60;59;60;58;58;57;57;58;58;58;58;58;873;57;FFD_prod_elem;52;5
class1\2d_class1_100_04.csv;61;61;61;63;63;62;61;61;61;61;61;61;61;61;61;920;61;dot_product1_lada_average;52;9
class1\2d_class1_1000_01.csv;575;575;574;577;580;613;573;573;574;574;573;573;575;575;575;8659;573;FFD_avg_elem;539;34
class1\2d_class1_1000_02.csv;555;555;556;571;571;637;554;554;552;552;554;554;559;559;559;8442;552;FFD_prod_elem;508;44
class1\2d_class1_1000_03.csv;553;553;553;559;559;595;553;553;553;553;553;553;554;553;553;8350;553;dot_product1_lada_average;508;45
class1\2d_class1_1000_04.csv;517;517;515;532;528;579;514;514;516;516;514;514;518;519;518;7831;514;FFD_avg_elem;492;22
class1\2d_class1_500_01.csv;274;274;274;278;276;298;275;275;274;274;275;275;275;275;274;4146;274;dot_product1_lada_average;253;21
class1\2d_class1_500_02.csv;276;276;277;284;280;278;277;277;276;276;277;277;277;276;276;4160;276;dot_product1_lada_average;267;9
class1\2d_class1_500_03.csv;275;275;276;279;277;283;275;275;276;276;275;275;276;276;276;4145;275;dot_product1_lada_average;255;20
class1\2d_class1_500_04.csv;283;283;283;288;286;287;284;284;285;285;284;284;283;283;284;4266;283;dot_product1_lada_average;261;22
class2\2d_class2_100_01.csv;26;26;26;28;27;27;27;27;27;27;27;27;27;26;26;401;26;dot_product1_lada_average;25;1
class2\2d_class2_100_02.csv;27;27;27;29;29;29;27;27;28;28;27;27;27;27;27;413;27;dot_product1_lada_average;26;1
class2\2d_class2_100_03.csv;27;27;27;28;28;28;27;27;28;28;27;27;27;27;27;410;27;dot_product1_lada_average;26;1
class2\2d_class2_100_04.csv;29;28;28;30;30;30;29;29;29;29;29;29;28;29;29;435;28;dot_product1_lada_exponential;27;1
class2\2d_class2_1000_01.csv;262;261;260;273;272;270;270;270;269;269;270;270;259;259;259;3993;259;l2_norm_of_slacks_lada_average;252;7
class2\2d_class2_1000_02.csv;263;263;269;276;275;274;270;270;272;272;270;270;261;261;263;4029;261;l2_norm_of_slacks_lada_average;254;7
class2\2d_class2_1000_03.csv;263;263;274;272;273;272;272;272;272;272;272;272;261;261;261;4032;261;l2_norm_of_slacks_lada_average;253;8
class2\2d_class2_1000_04.csv;264;262;272;272;271;272;274;274;275;275;274;274;262;262;262;4045;262;dot_product1_lada_exponential;254;8
class2\2d_class2_500_01.csv;131;132;136;136;137;135;135;135;134;134;135;135;130;130;130;2005;130;l2_norm_of_slacks_lada_average;126;4
class2\2d_class2_500_02.csv;132;132;134;137;136;137;137;137;138;138;137;137;131;131;131;2025;131;l2_norm_of_slacks_lada_average;127;4
class2\2d_class2_500_03.csv;131;131;132;135;136;134;137;137;135;135;137;137;130;130;130;2007;130;l2_norm_of_slacks_lada_average;126;4
class2\2d_class2_500_04.csv;130;130;137;132;131;131;134;134;135;135;134;134;129;129;129;1984;129;l2_norm_of_slacks_lada_average;124;5
class3\2d_class3_100_01.csv;53;53;53;56;54;57;53;53;53;53;53;53;53;53;53;803;53;dot_product1_lada_average;51;2
class3\2d_class3_100_02.csv;54;54;54;57;54;56;54;54;54;54;54;54;54;54;54;815;54;dot_product1_lada_average;51;3
class3\2d_class3_100_03.csv;54;54;54;57;55;57;54;54;54;54;54;54;54;54;54;817;54;dot_product1_lada_average;51;3
class3\2d_class3_100_04.csv;55;55;55;57;55;56;55;55;55;55;55;55;55;55;55;828;55;dot_product1_lada_average;52;3
class3\2d_class3_1000_01.csv;516;515;515;525;521;580;515;515;516;516;515;515;516;516;516;7812;515;dot_product1_lada_exponential;502;13
class3\2d_class3_1000_02.csv;520;520;520;527;526;581;520;520;521;521;520;520;520;520;520;7876;520;dot_product1_lada_average;504;16
class3\2d_class3_1000_03.csv;523;522;522;530;528;582;522;522;523;523;522;522;522;522;522;7907;522;dot_product1_lada_exponential;509;13
class3\2d_class3_1000_04.csv;514;514;514;522;519;580;514;514;515;515;514;514;515;515;515;7794;514;dot_product1_lada_average;502;12
class3\2d_class3_500_01.csv;263;263;263;267;267;295;263;263;263;263;263;263;263;264;264;3987;263;dot_product1_lada_average;254;9
class3\2d_class3_500_02.csv;261;261;261;265;263;294;261;261;261;261;261;261;261;261;261;3954;261;dot_product1_lada_average;254;7
class3\2d_class3_500_03.csv;262;262;262;268;265;287;261;261;262;262;261;261;262;262;262;3960;261;FFD_avg_elem;252;9
class3\2d_class3_500_04.csv;263;263;263;269;265;293;263;263;263;263;263;263;263;263;263;3983;263;dot_product1_lada_average;252;11
class4\2d_class4_100_01.csv;33;33;33;34;34;34;33;33;33;33;33;33;33;33;33;498;33;dot_product1_lada_average;32;1
class4\2d_class4_100_02.csv;33;32;32;34;33;33;33;33;33;33;33;33;33;33;33;494;32;dot_product1_lada_exponential;32;0
class4\2d_class4_100_03.csv;32;32;32;34;33;36;32;32;32;32;32;32;32;32;32;487;32;dot_product1_lada_average;31;1
class4\2d_class4_100_04.csv;33;33;33;34;34;33;33;33;33;33;33;33;33;33;32;496;32;l2_norm_of_slacks_lada_reciprocal_average;31;1
class4\2d_class4_1000_01.csv;321;321;322;330;329;329;323;323;324;324;323;323;320;320;320;4852;320;l2_norm_of_slacks_lada_average;314;6
class4\2d_class4_1000_02.csv;320;321;321;330;329;328;324;324;325;325;324;324;321;321;320;4857;320;dot_product1_lada_average;314;6
class4\2d_class4_1000_03.csv;320;320;319;330;329;330;324;324;323;323;324;324;320;320;320;4850;319;dot_product1_lada_reciprocal_average;314;5
class4\2d_class4_1000_04.csv;320;319;319;329;328;335;324;324;324;324;324;324;319;319;319;4851;319;dot_product1_lada_exponential;313;6
