fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec
class1\4d_class1_1000_01.csv;FFD_sum;elem;nincs;653;0.3932
class1\4d_class1_1000_01.csv;FFD_prod;elem;nincs;654;0.3668
class1\4d_class1_1000_01.csv;FFD_avg;elem;nincs;653;0.3993
class1\4d_class1_1000_01.csv;FFD_sum;lada;nincs;653;0.4053
class1\4d_class1_1000_01.csv;FFD_prod;lada;nincs;654;0.35
class1\4d_class1_1000_01.csv;FFD_avg;lada;nincs;653;0.3833
class1\4d_class1_1000_01.csv;dot_product1;lada;average;655;5.0249
class1\4d_class1_1000_01.csv;dot_product1;lada;exponential;655;4.9663
class1\4d_class1_1000_01.csv;dot_product1;lada;reciprocal_average;653;5.0899
class1\4d_class1_1000_01.csv;dot_product2;lada;average;664;7.1889
class1\4d_class1_1000_01.csv;dot_product2;lada;exponential;664;7.3242
class1\4d_class1_1000_01.csv;dot_product2;lada;reciprocal_average;664;7.2916
class1\4d_class1_1000_01.csv;l2_norm_of_slacks;lada;average;655;5.2261
class1\4d_class1_1000_01.csv;l2_norm_of_slacks;lada;exponential;655;5.2024
class1\4d_class1_1000_01.csv;l2_norm_of_slacks;lada;reciprocal_average;657;5.3191
class1\4d_class1_1000_02.csv;FFD_sum;elem;nincs;652;0.3766
class1\4d_class1_1000_02.csv;FFD_prod;elem;nincs;653;0.3733
class1\4d_class1_1000_02.csv;FFD_avg;elem;nincs;652;0.389
class1\4d_class1_1000_02.csv;FFD_sum;lada;nincs;652;0.3585
class1\4d_class1_1000_02.csv;FFD_prod;lada;nincs;653;0.3572
class1\4d_class1_1000_02.csv;FFD_avg;lada;nincs;652;0.3893
class1\4d_class1_1000_02.csv;dot_product1;lada;average;653;5.0986
class1\4d_class1_1000_02.csv;dot_product1;lada;exponential;653;5.063
class1\4d_class1_1000_02.csv;dot_product1;lada;reciprocal_average;653;5.3017
class1\4d_class1_1000_02.csv;dot_product2;lada;average;661;7.2015
class1\4d_class1_1000_02.csv;dot_product2;lada;exponential;660;7.3321
class1\4d_class1_1000_02.csv;dot_product2;lada;reciprocal_average;660;7.323
class1\4d_class1_1000_02.csv;l2_norm_of_slacks;lada;average;654;5.127
class1\4d_class1_1000_02.csv;l2_norm_of_slacks;lada;exponential;655;5.0773
class1\4d_class1_1000_02.csv;l2_norm_of_slacks;lada;reciprocal_average;655;5.0491
class1\4d_class1_1000_03.csv;FFD_sum;elem;nincs;671;0.4091
class1\4d_class1_1000_03.csv;FFD_prod;elem;nincs;672;0.413
class1\4d_class1_1000_03.csv;FFD_avg;elem;nincs;671;0.4007
class1\4d_class1_1000_03.csv;FFD_sum;lada;nincs;671;0.395
class1\4d_class1_1000_03.csv;FFD_prod;lada;nincs;672;0.3939
class1\4d_class1_1000_03.csv;FFD_avg;lada;nincs;671;0.3719
class1\4d_class1_1000_03.csv;dot_product1;lada;average;669;5.2263
class1\4d_class1_1000_03.csv;dot_product1;lada;exponential;669;5.2413
class1\4d_class1_1000_03.csv;dot_product1;lada;reciprocal_average;670;5.1879
class1\4d_class1_1000_03.csv;dot_product2;lada;average;678;7.4102
