Sorcímkék;Átlag / ladak_szama
dot_product2_lada_reciprocal_average;233,03
dot_product2_lada_average;225,89
dot_product2_lada_exponential;225,19
FFD_prod_elem;223,43
FFD_prod_lada;223,43
FFD_sum_elem;223,42
FFD_sum_lada;223,42
FFD_avg_elem;223,42
FFD_avg_lada;223,42
dot_product1_lada_reciprocal_average;222,97
l2_norm_of_slacks_lada_exponential;222,51
dot_product1_lada_average;222,51
l2_norm_of_slacks_lada_average;222,49
l2_norm_of_slacks_lada_reciprocal_average;222,47
dot_product1_lada_exponential;222,42
Végösszeg;224,0009259
