fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec;osszesitett_nev;also_korlat;realtiv_elteres
3d_class1_500_01.csv;l2_norm_of_slacks;lada;average;316;1,1996;l2_norm_of_slacks_lada_average;273;0,1575
3d_class6_1000_02.csv;dot_product2;lada;exponential;334;10,2977;dot_product2_lada_exponential;300;0,1133
3d_class6_1000_02.csv;dot_product2;lada;average;334;10,2774;dot_product2_lada_average;300;0,1133
3d_class6_1000_02.csv;dot_product2;lada;reciprocal_average;334;10,2446;dot_product2_lada_reciprocal_average;300;0,1133
3d_class6_1000_04.csv;dot_product2;lada;average;334;10,2413;dot_product2_lada_average;301;0,1096
3d_class6_1000_03.csv;dot_product2;lada;exponential;334;10,2327;dot_product2_lada_exponential;301;0,1096
3d_class6_1000_04.csv;dot_product2;lada;reciprocal_average;334;10,1984;dot_product2_lada_reciprocal_average;301;0,1096
3d_class6_1000_01.csv;dot_product2;lada;reciprocal_average;334;10,0735;dot_product2_lada_reciprocal_average;301;0,1096
3d_class6_1000_03.csv;dot_product2;lada;reciprocal_average;334;10,0715;dot_product2_lada_reciprocal_average;301;0,1096
3d_class6_1000_03.csv;dot_product2;lada;average;334;10,0398;dot_product2_lada_average;301;0,1096
3d_class6_1000_01.csv;dot_product2;lada;exponential;334;9,9704;dot_product2_lada_exponential;301;0,1096
3d_class6_1000_04.csv;dot_product2;lada;exponential;334;9,9362;dot_product2_lada_exponential;301;0,1096
3d_class6_1000_01.csv;dot_product2;lada;average;334;9,8208;dot_product2_lada_average;301;0,1096
3d_class2_1000_02.csv;dot_product2;lada;reciprocal_average;273;8,6793;dot_product2_lada_reciprocal_average;251;0,0876
3d_class2_1000_04.csv;dot_product2;lada;exponential;274;8,6438;dot_product2_lada_exponential;252;0,0873
3d_class2_1000_04.csv;dot_product2;lada;average;274;8,6267;dot_product2_lada_average;252;0,0873
3d_class2_1000_03.csv;dot_product2;lada;exponential;280;8,6242;dot_product2_lada_exponential;256;0,0938
3d_class2_1000_03.csv;dot_product2;lada;reciprocal_average;276;8,6045;dot_product2_lada_reciprocal_average;256;0,0781
3d_class2_1000_03.csv;dot_product2;lada;average;280;8,5342;dot_product2_lada_average;256;0,0938
3d_class2_1000_02.csv;dot_product2;lada;exponential;272;8,4814;dot_product2_lada_exponential;251;0,0837
3d_class2_1000_01.csv;dot_product2;lada;exponential;275;8,4356;dot_product2_lada_exponential;253;0,0870
3d_class2_1000_02.csv;dot_product2;lada;average;272;8,3782;dot_product2_lada_average;251;0,0837
3d_class2_1000_04.csv;dot_product2;lada;reciprocal_average;272;8,3619;dot_product2_lada_reciprocal_average;252;0,0794
3d_class2_1000_01.csv;dot_product2;lada;reciprocal_average;272;8,273;dot_product2_lada_reciprocal_average;253;0,0751
3d_class2_1000_01.csv;dot_product2;lada;average;276;8,2693;dot_product2_lada_average;253;0,0909
3d_class4_1000_02.csv;dot_product2;lada;exponential;335;7,3177;dot_product2_lada_exponential;313;0,0703
3d_class4_1000_02.csv;dot_product2;lada;reciprocal_average;334;7,2501;dot_product2_lada_reciprocal_average;313;0,0671
3d_class4_1000_02.csv;dot_product2;lada;average;333;7,2451;dot_product2_lada_average;313;0,0639
3d_class4_1000_01.csv;dot_product2;lada;average;333;7,2131;dot_product2_lada_average;310;0,0742
