fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec
4d_class1_1000_01.csv;FFD_sum;elem;nincs;653;0.5219
4d_class1_1000_01.csv;FFD_prod;elem;nincs;654;0.4779
4d_class1_1000_01.csv;FFD_avg;elem;nincs;653;0.4889
4d_class1_1000_01.csv;FFD_sum;lada;nincs;653;0.3822
4d_class1_1000_01.csv;FFD_prod;lada;nincs;654;0.4674
4d_class1_1000_01.csv;FFD_avg;lada;nincs;653;0.4534
4d_class1_1000_01.csv;dot_product1;lada;average;655;6.3857
4d_class1_1000_01.csv;dot_product1;lada;exponential;655;5.839
4d_class1_1000_01.csv;dot_product1;lada;reciprocal_average;653;5.8965
4d_class1_1000_01.csv;dot_product2;lada;average;664;8.2597
4d_class1_1000_01.csv;dot_product2;lada;exponential;664;7.5304
4d_class1_1000_01.csv;dot_product2;lada;reciprocal_average;664;7.6987
4d_class1_1000_01.csv;l2_norm_of_slacks;lada;average;655;5.3865
4d_class1_1000_01.csv;l2_norm_of_slacks;lada;exponential;655;5.3188
4d_class1_1000_01.csv;l2_norm_of_slacks;lada;reciprocal_average;657;5.3706
4d_class1_1000_02.csv;FFD_sum;elem;nincs;652;0.3864
4d_class1_1000_02.csv;FFD_prod;elem;nincs;653;0.3649
4d_class1_1000_02.csv;FFD_avg;elem;nincs;652;0.3999
4d_class1_1000_02.csv;FFD_sum;lada;nincs;652;0.3662
4d_class1_1000_02.csv;FFD_prod;lada;nincs;653;0.3629
4d_class1_1000_02.csv;FFD_avg;lada;nincs;652;0.3679
4d_class1_1000_02.csv;dot_product1;lada;average;653;4.8569
4d_class1_1000_02.csv;dot_product1;lada;exponential;653;5.1246
4d_class1_1000_02.csv;dot_product1;lada;reciprocal_average;653;4.9974
4d_class1_1000_02.csv;dot_product2;lada;average;661;7.1079
4d_class1_1000_02.csv;dot_product2;lada;exponential;660;7.0378
4d_class1_1000_02.csv;dot_product2;lada;reciprocal_average;660;7.1728
4d_class1_1000_02.csv;l2_norm_of_slacks;lada;average;654;4.6987
4d_class1_1000_02.csv;l2_norm_of_slacks;lada;exponential;655;5.162
4d_class1_1000_02.csv;l2_norm_of_slacks;lada;reciprocal_average;655;5.1483
4d_class1_1000_03.csv;FFD_sum;elem;nincs;671;0.4121
4d_class1_1000_03.csv;FFD_prod;elem;nincs;672;0.3996
4d_class1_1000_03.csv;FFD_avg;elem;nincs;671;0.4055
4d_class1_1000_03.csv;FFD_sum;lada;nincs;671;0.4197
4d_class1_1000_03.csv;FFD_prod;lada;nincs;672;0.3695
4d_class1_1000_03.csv;FFD_avg;lada;nincs;671;0.3826
4d_class1_1000_03.csv;dot_product1;lada;average;669;4.9798
4d_class1_1000_03.csv;dot_product1;lada;exponential;669;5.069
4d_class1_1000_03.csv;dot_product1;lada;reciprocal_average;670;5.0721
4d_class1_1000_03.csv;dot_product2;lada;average;678;7.2109
4d_class1_1000_03.csv;dot_product2;lada;exponential;678;7.1332
4d_class1_1000_03.csv;dot_product2;lada;reciprocal_average;678;7.1876
4d_class1_1000_03.csv;l2_norm_of_slacks;lada;average;671;5.0925
4d_class1_1000_03.csv;l2_norm_of_slacks;lada;exponential;670;5.1763
4d_class1_1000_03.csv;l2_norm_of_slacks;lada;reciprocal_average;671;5.0415
4d_class1_1000_04.csv;FFD_sum;elem;nincs;648;0.3604
4d_class1_1000_04.csv;FFD_prod;elem;nincs;648;0.3888
4d_class1_1000_04.csv;FFD_avg;elem;nincs;648;0.4027
4d_class1_1000_04.csv;FFD_sum;lada;nincs;648;0.4098
4d_class1_1000_04.csv;FFD_prod;lada;nincs;648;0.4087
4d_class1_1000_04.csv;FFD_avg;lada;nincs;648;0.3824
4d_class1_1000_04.csv;dot_product1;lada;average;650;5.0246
4d_class1_1000_04.csv;dot_product1;lada;exponential;650;4.9046
4d_class1_1000_04.csv;dot_product1;lada;reciprocal_average;650;5.1244
4d_class1_1000_04.csv;dot_product2;lada;average;664;7.1222
4d_class1_1000_04.csv;dot_product2;lada;exponential;668;7.1467
4d_class1_1000_04.csv;dot_product2;lada;reciprocal_average;662;7.383
4d_class1_1000_04.csv;l2_norm_of_slacks;lada;average;655;5.0416
4d_class1_1000_04.csv;l2_norm_of_slacks;lada;exponential;654;5.0799
4d_class1_1000_04.csv;l2_norm_of_slacks;lada;reciprocal_average;654;4.9965
4d_class1_100_01.csv;FFD_sum;elem;nincs;76;0.0044
4d_class1_100_01.csv;FFD_prod;elem;nincs;76;0.0043
4d_class1_100_01.csv;FFD_avg;elem;nincs;76;0.0042
4d_class1_100_01.csv;FFD_sum;lada;nincs;76;0.0041
4d_class1_100_01.csv;FFD_prod;lada;nincs;76;0.0044
4d_class1_100_01.csv;FFD_avg;lada;nincs;76;0.0041
4d_class1_100_01.csv;dot_product1;lada;average;76;0.0524
4d_class1_100_01.csv;dot_product1;lada;exponential;76;0.0533
4d_class1_100_01.csv;dot_product1;lada;reciprocal_average;76;0.0576
4d_class1_100_01.csv;dot_product2;lada;average;78;0.0899
4d_class1_100_01.csv;dot_product2;lada;exponential;77;0.0843
4d_class1_100_01.csv;dot_product2;lada;reciprocal_average;76;0.0785
4d_class1_100_01.csv;l2_norm_of_slacks;lada;average;76;0.0538
4d_class1_100_01.csv;l2_norm_of_slacks;lada;exponential;76;0.0544
4d_class1_100_01.csv;l2_norm_of_slacks;lada;reciprocal_average;76;0.0564
4d_class1_100_02.csv;FFD_sum;elem;nincs;71;0.004
4d_class1_100_02.csv;FFD_prod;elem;nincs;72;0.0042
4d_class1_100_02.csv;FFD_avg;elem;nincs;71;0.0042
4d_class1_100_02.csv;FFD_sum;lada;nincs;71;0.0043
4d_class1_100_02.csv;FFD_prod;lada;nincs;72;0.0045
4d_class1_100_02.csv;FFD_avg;lada;nincs;71;0.0044
4d_class1_100_02.csv;dot_product1;lada;average;72;0.0587
4d_class1_100_02.csv;dot_product1;lada;exponential;72;0.0604
4d_class1_100_02.csv;dot_product1;lada;reciprocal_average;72;0.0624
4d_class1_100_02.csv;dot_product2;lada;average;73;0.082
4d_class1_100_02.csv;dot_product2;lada;exponential;72;0.0793
4d_class1_100_02.csv;dot_product2;lada;reciprocal_average;72;0.0816
4d_class1_100_02.csv;l2_norm_of_slacks;lada;average;71;0.0569
4d_class1_100_02.csv;l2_norm_of_slacks;lada;exponential;72;0.0574
4d_class1_100_02.csv;l2_norm_of_slacks;lada;reciprocal_average;71;0.0589
4d_class1_100_03.csv;FFD_sum;elem;nincs;78;0.0044
4d_class1_100_03.csv;FFD_prod;elem;nincs;78;0.0045
4d_class1_100_03.csv;FFD_avg;elem;nincs;78;0.0045
4d_class1_100_03.csv;FFD_sum;lada;nincs;78;0.0045
4d_class1_100_03.csv;FFD_prod;lada;nincs;78;0.0046
4d_class1_100_03.csv;FFD_avg;lada;nincs;78;0.0045
4d_class1_100_03.csv;dot_product1;lada;average;78;0.0576
4d_class1_100_03.csv;dot_product1;lada;exponential;79;0.0568
4d_class1_100_03.csv;dot_product1;lada;reciprocal_average;78;0.0576
4d_class1_100_03.csv;dot_product2;lada;average;79;0.0807
4d_class1_100_03.csv;dot_product2;lada;exponential;80;0.0812
4d_class1_100_03.csv;dot_product2;lada;reciprocal_average;79;0.0842
4d_class1_100_03.csv;l2_norm_of_slacks;lada;average;78;0.0651
4d_class1_100_03.csv;l2_norm_of_slacks;lada;exponential;79;0.0692
4d_class1_100_03.csv;l2_norm_of_slacks;lada;reciprocal_average;79;0.0694
4d_class1_100_04.csv;FFD_sum;elem;nincs;79;0.0044
4d_class1_100_04.csv;FFD_prod;elem;nincs;78;0.0046
4d_class1_100_04.csv;FFD_avg;elem;nincs;79;0.0044
4d_class1_100_04.csv;FFD_sum;lada;nincs;79;0.0045
4d_class1_100_04.csv;FFD_prod;lada;nincs;78;0.0047
4d_class1_100_04.csv;FFD_avg;lada;nincs;79;0.0045
4d_class1_100_04.csv;dot_product1;lada;average;80;0.057
4d_class1_100_04.csv;dot_product1;lada;exponential;80;0.0577
4d_class1_100_04.csv;dot_product1;lada;reciprocal_average;80;0.0624
4d_class1_100_04.csv;dot_product2;lada;average;80;0.087
4d_class1_100_04.csv;dot_product2;lada;exponential;83;0.0914
4d_class1_100_04.csv;dot_product2;lada;reciprocal_average;83;0.0975
4d_class1_100_04.csv;l2_norm_of_slacks;lada;average;79;0.0688
4d_class1_100_04.csv;l2_norm_of_slacks;lada;exponential;80;0.0692
4d_class1_100_04.csv;l2_norm_of_slacks;lada;reciprocal_average;80;0.0706
4d_class1_500_01.csv;FFD_sum;elem;nincs;328;0.0882
4d_class1_500_01.csv;FFD_prod;elem;nincs;325;0.0891
4d_class1_500_01.csv;FFD_avg;elem;nincs;328;0.0896
4d_class1_500_01.csv;FFD_sum;lada;nincs;328;0.0908
4d_class1_500_01.csv;FFD_prod;lada;nincs;325;0.0898
4d_class1_500_01.csv;FFD_avg;lada;nincs;328;0.092
4d_class1_500_01.csv;dot_product1;lada;average;326;1.1997
4d_class1_500_01.csv;dot_product1;lada;exponential;327;1.2201
4d_class1_500_01.csv;dot_product1;lada;reciprocal_average;326;1.2562
4d_class1_500_01.csv;dot_product2;lada;average;330;1.7944
4d_class1_500_01.csv;dot_product2;lada;exponential;329;1.7777
4d_class1_500_01.csv;dot_product2;lada;reciprocal_average;330;1.8203
4d_class1_500_01.csv;l2_norm_of_slacks;lada;average;326;1.228
4d_class1_500_01.csv;l2_norm_of_slacks;lada;exponential;326;1.2446
4d_class1_500_01.csv;l2_norm_of_slacks;lada;reciprocal_average;327;1.2537
4d_class1_500_02.csv;FFD_sum;elem;nincs;335;0.0943
4d_class1_500_02.csv;FFD_prod;elem;nincs;334;0.0934
4d_class1_500_02.csv;FFD_avg;elem;nincs;335;0.0958
4d_class1_500_02.csv;FFD_sum;lada;nincs;335;0.1024
4d_class1_500_02.csv;FFD_prod;lada;nincs;334;0.1135
4d_class1_500_02.csv;FFD_avg;lada;nincs;335;0.1214
4d_class1_500_02.csv;dot_product1;lada;average;336;1.3555
4d_class1_500_02.csv;dot_product1;lada;exponential;336;1.2965
4d_class1_500_02.csv;dot_product1;lada;reciprocal_average;336;1.3102
4d_class1_500_02.csv;dot_product2;lada;average;342;1.8146
4d_class1_500_02.csv;dot_product2;lada;exponential;341;1.8297
4d_class1_500_02.csv;dot_product2;lada;reciprocal_average;341;1.8741
4d_class1_500_02.csv;l2_norm_of_slacks;lada;average;336;1.274
4d_class1_500_02.csv;l2_norm_of_slacks;lada;exponential;336;1.2701
4d_class1_500_02.csv;l2_norm_of_slacks;lada;reciprocal_average;336;1.3067
4d_class1_500_03.csv;FFD_sum;elem;nincs;359;0.1022
4d_class1_500_03.csv;FFD_prod;elem;nincs;362;0.1012
4d_class1_500_03.csv;FFD_avg;elem;nincs;359;0.1024
4d_class1_500_03.csv;FFD_sum;lada;nincs;359;0.1026
4d_class1_500_03.csv;FFD_prod;lada;nincs;362;0.103
4d_class1_500_03.csv;FFD_avg;lada;nincs;359;0.1097
4d_class1_500_03.csv;dot_product1;lada;average;360;1.3715
4d_class1_500_03.csv;dot_product1;lada;exponential;360;1.3446
4d_class1_500_03.csv;dot_product1;lada;reciprocal_average;359;1.3755
4d_class1_500_03.csv;dot_product2;lada;average;366;1.9267
4d_class1_500_03.csv;dot_product2;lada;exponential;366;2.007
4d_class1_500_03.csv;dot_product2;lada;reciprocal_average;364;1.9228
4d_class1_500_03.csv;l2_norm_of_slacks;lada;average;362;1.4041
4d_class1_500_03.csv;l2_norm_of_slacks;lada;exponential;362;1.3714
4d_class1_500_03.csv;l2_norm_of_slacks;lada;reciprocal_average;363;1.3899
4d_class1_500_04.csv;FFD_sum;elem;nincs;343;0.0955
4d_class1_500_04.csv;FFD_prod;elem;nincs;342;0.1006
4d_class1_500_04.csv;FFD_avg;elem;nincs;343;0.1103
4d_class1_500_04.csv;FFD_sum;lada;nincs;343;0.1131
4d_class1_500_04.csv;FFD_prod;lada;nincs;342;0.1122
4d_class1_500_04.csv;FFD_avg;lada;nincs;343;0.1141
4d_class1_500_04.csv;dot_product1;lada;average;344;1.3111
4d_class1_500_04.csv;dot_product1;lada;exponential;343;1.3548
4d_class1_500_04.csv;dot_product1;lada;reciprocal_average;344;1.3071
4d_class1_500_04.csv;dot_product2;lada;average;348;1.9384
4d_class1_500_04.csv;dot_product2;lada;exponential;348;1.7951
4d_class1_500_04.csv;dot_product2;lada;reciprocal_average;349;1.9252
4d_class1_500_04.csv;l2_norm_of_slacks;lada;average;345;1.2891
4d_class1_500_04.csv;l2_norm_of_slacks;lada;exponential;346;1.3876
4d_class1_500_04.csv;l2_norm_of_slacks;lada;reciprocal_average;343;1.3079
4d_class2_1000_01.csv;FFD_sum;elem;nincs;287;0.1638
4d_class2_1000_01.csv;FFD_prod;elem;nincs;288;0.1675
