1D;2D
317;79
324;30
270;88
281;63
270;89
337;4
250;58
305;35
274;42
297;77
331;8
282;35
314;76
271;61
290;97
314;44
317;38
268;11
308;67
330;33
339;87
251;37
317;96
303;9
304;53
309;71
338;97
329;65
319;27
292;29
296;87
281;70
282;18
252;16
299;18
299;11
348;46
262;24
331;40
280;78
266;83
327;19
254;31
297;22
288;31
302;14
300;80
306;30
316;7
283;54
255;82
272;3
344;74
308;30
263;53
342;9
285;50
259;23
265;8
267;29
322;45
286;91
268;21
326;56
284;69
270;19
327;58
316;48
280;7
255;34
342;93
346;37
349;80
275;67
348;57
251;33
299;83
264;87
292;92
269;2
250;34
326;3
267;75
271;95
289;56
307;89
350;63
267;4
336;8
342;68
318;78
259;65
316;36
279;60
296;13
331;22
312;61
290;90
333;75
295;36
340;64
305;4
309;3
337;25
250;36
287;71
286;82
265;56
281;84
258;52
298;24
295;29
264;80
290;71
288;40
261;69
261;76
275;41
267;57
330;35
303;33
343;88
272;96
346;93
279;81
313;30
281;90
298;7
335;65
331;82
345;58
277;58
317;98
288;72
310;31
320;79
259;38
268;29
319;75
256;1
259;98
337;69
262;43
297;7
255;59
329;67
267;4
302;10
350;97
280;32
251;90
253;55
294;48
264;2
257;63
285;64
333;24
311;52
293;79
251;21
298;6
342;15
276;51
300;75
275;3
263;5
291;42
278;15
257;94
341;94
263;97
332;91
276;74
261;31
315;7
300;27
277;78
290;59
259;15
343;30
331;19
320;49
269;46
318;11
345;30
326;97
335;58
335;35
279;87
338;65
344;81
300;70
313;72
282;44
341;3
292;72
252;54
264;41
276;40
338;15
276;24
275;99
265;94
286;60
257;22
298;97
313;83
346;30
328;50
324;12
347;83
343;17
302;79
310;42
273;70
319;33
259;52
251;80
293;83
331;89
326;66
262;13
290;14
270;86
299;6
330;2
261;45
308;53
303;64
335;61
304;43
296;9
265;6
339;95
334;59
347;90
329;58
279;44
260;73
308;35
276;76
293;90
278;92
281;66
277;46
296;54
297;26
288;71
346;61
290;81
290;4
319;34
349;66
271;11
339;31
257;64
253;67
277;35
271;56
283;24
270;48
282;11
263;18
275;89
282;48
282;39
254;84
298;54
271;45
309;17
311;32
288;46
289;13
280;85
347;16
325;31
263;80
311;67
277;19
348;19
340;96
301;60
338;77
259;27
289;87
326;77
285;73
284;37
295;95
317;25
284;46
275;59
285;57
319;99
273;84
298;4
318;7
317;74
321;56
258;42
319;60
341;69
258;23
297;1
313;37
270;14
324;89
279;60
297;88
284;57
304;86
344;7
281;1
312;72
283;75
258;12
272;90
339;55
251;65
270;36
344;56
297;98
321;20
316;65
306;6
348;35
347;81
275;98
257;91
304;83
313;10
272;14
268;14
305;43
280;26
344;9
345;30
334;37
297;93
300;47
344;78
325;82
337;77
308;78
329;83
272;83
347;26
278;60
264;2
324;8
342;59
336;66
319;2
330;57
269;27
327;51
260;73
259;84
293;55
339;44
308;86
344;10
264;99
331;95
329;74
263;88
347;10
267;88
281;85
313;39
284;7
274;45
276;4
285;94
250;59
284;29
274;11
317;35
282;57
283;11
268;21
322;47
285;93
279;37
292;73
280;47
315;22
253;50
341;95
261;66
331;5
311;61
305;47
272;62
287;37
292;50
253;50
293;42
322;80
348;66
295;5
303;88
266;48
253;36
267;10
282;99
259;30
253;11
265;53
283;27
300;12
275;47
343;30
314;13
275;84
303;68
342;26
299;85
277;91
261;97
264;41
292;28
252;72
283;95
304;65
337;35
287;57
253;77
265;41
278;72
338;48
278;44
349;24
264;61
269;44
318;60
261;30
346;86
313;59
328;92
306;45
283;27
339;91
269;68
287;87
314;4
274;82
320;13
271;49
328;28
294;57
252;51
251;23
255;35
328;83
340;88
322;43
269;95
287;4
300;74
305;83
282;11
334;52
327;15
279;96
330;30
293;73
340;88
273;16
300;64
266;98
302;57
315;82
323;91
338;46
299;41
336;8
294;89
296;16
304;18
323;75
261;39
264;48
281;38
305;13
299;56
259;47
295;26
270;78
333;69
293;17
281;76
285;49
308;82
287;74
317;13
273;23
322;77
305;85
345;18
295;97
258;38
267;81
312;75
296;49
279;64
315;21
304;83
334;88
328;90
331;24
297;78
300;91
319;90
297;95
320;75
257;55
333;50
251;99
273;42
283;16
300;23
279;3
297;17
287;88
319;88
318;72
282;76
276;89
277;100
268;69
274;46
313;55
346;47
298;78
331;85
280;31
268;73
301;65
266;9
325;51
261;29
298;53
307;62
282;16
349;95
272;68
339;65
252;94
340;68
301;58
314;69
277;27
330;5
336;14
310;46
296;88
263;28
278;61
295;65
258;24
321;74
321;65
308;50
290;84
341;94
324;28
308;79
348;16
278;91
341;53
261;14
328;66
267;87
259;2
259;16
337;82
333;15
256;19
256;23
319;64
305;32
322;43
276;77
318;89
258;18
307;87
328;23
345;45
324;28
277;31
314;67
349;4
319;55
272;2
298;7
252;65
320;5
296;85
315;5
325;89
312;79
314;29
280;3
260;84
264;97
272;31
329;48
277;22
315;68
265;35
274;20
268;31
297;98
312;92
292;46
346;13
337;6
256;13
313;37
308;64
285;23
300;56
304;25
264;47
303;7
334;63
300;69
259;69
295;16
299;86
287;79
255;20
285;33
274;66
303;97
319;97
332;28
291;41
330;8
286;25
260;52
338;62
278;13
276;38
254;6
341;78
298;42
328;85
280;33
262;47
255;72
330;100
295;64
282;41
270;70
291;84
320;60
315;68
306;58
266;18
319;78
302;80
317;36
333;97
289;56
338;87
345;86
349;15
281;76
274;13
278;34
337;68
327;72
304;18
324;43
281;64
292;54
339;78
337;6
316;28
264;24
279;21
285;18
307;32
287;68
269;100
280;53
350;19
343;21
321;9
289;1
324;97
299;28
335;50
286;71
299;65
323;14
307;95
300;47
265;29
291;52
305;67
253;20
282;82
319;88
274;18
320;69
342;77
322;34
348;1
349;56
342;46
268;41
267;94
254;94
310;16
297;47
328;81
339;55
285;63
322;97
299;44
250;61
257;13
349;49
325;27
280;28
294;50
276;20
253;80
318;85
305;6
307;12
296;24
322;66
346;43
255;81
255;19
250;22
273;6
286;84
263;34
343;67
318;10
292;100
263;67
324;36
271;58
252;69
276;39
312;5
282;88
331;2
307;60
288;78
330;33
287;32
265;24
291;58
326;56
349;59
317;66
262;26
269;99
303;66
282;70
313;97
263;18
251;34
310;21
278;42
258;4
337;50
318;23
329;40
297;81
275;6
310;91
297;46
284;54
278;56
332;94
336;86
329;55
298;1
272;84
301;58
273;46
345;22
297;66
309;47
323;14
329;86
331;59
320;3
338;66
289;70
338;86
283;72
299;50
315;50
346;25
315;100
309;97
284;84
291;30
300;58
268;42
331;72
305;11
264;65
327;44
268;62
261;91
298;53
314;43
294;4
293;88
290;15
307;13
332;11
335;77
323;22
344;57
262;35
339;55
338;50
256;78
328;94
281;83
250;16
251;43
333;23
286;19
301;46
286;79
270;54
304;48
281;28
284;26
268;46
293;12
330;33
279;99
300;73
289;22
288;56
265;100
325;6
295;11
288;59
331;13
263;60
287;31
297;91
309;76
276;76
291;12
335;78
347;86
350;92
269;81
302;23
346;73
307;78
309;98
292;71
297;32
253;89
321;56
314;27
349;39
301;77
289;61
309;59
300;81
261;46
281;65
328;100
319;34
270;54
298;56
254;26
256;73
270;94
279;2
