1D;2D;3D
981;675;84
64;65;310
17;907;583
229;735;884
454;973;70
882;151;267
668;526;709
709;665;438
508;876;979
26;510;743
976;991;271
418;806;734
870;175;421
589;37;86
851;500;951
646;747;175
878;700;965
837;226;857
389;367;254
826;517;357
723;258;980
494;50;778
995;96;198
51;782;286
442;173;226
560;543;262
46;684;906
603;557;794
909;742;651
380;226;897
710;388;924
800;44;194
60;33;178
963;765;30
969;86;31
517;141;444
423;942;727
326;773;601
192;818;629
982;584;909
53;769;471
659;515;234
743;586;802
792;436;827
566;400;616
958;89;732
979;409;244
172;151;792
107;353;706
3;308;90
362;759;765
202;42;336
969;536;738
516;796;969
546;767;876
927;368;366
359;554;984
17;421;998
989;579;442
205;886;320
875;831;873
422;239;307
717;142;756
665;537;594
562;593;281
902;616;373
25;541;882
109;721;33
549;28;705
257;367;485
439;603;731
896;792;619
887;508;851
190;4;832
118;135;781
347;321;938
254;675;946
575;842;187
269;399;240
221;128;511
841;350;589
405;281;823
346;819;615
310;295;199
412;288;275
263;885;58
700;453;863
704;519;155
456;628;764
217;910;749
518;823;684
94;479;395
353;323;680
800;423;945
628;959;147
784;474;80
829;223;920
86;926;210
583;732;983
832;480;367
690;101;177
345;563;893
657;246;253
881;146;209
102;996;974
10;318;351
545;413;851
758;719;258
995;574;283
116;449;17
393;515;687
211;793;390
785;798;826
468;313;772
490;728;150
864;515;286
865;856;48
313;392;40
68;266;782
880;897;322
811;156;475
887;759;652
722;405;211
321;960;959
340;593;597
659;57;296
308;687;750
898;962;899
907;920;320
848;851;521
106;368;751
275;226;951
504;612;105
107;1;767
979;340;511
969;294;823
768;252;358
224;438;852
289;728;665
394;71;494
379;192;916
246;373;207
504;579;593
106;562;788
435;278;691
228;979;789
646;996;332
136;735;888
489;830;31
381;357;412
823;915;718
747;54;778
304;820;43
388;490;549
536;823;99
981;845;906
82;805;548
630;313;508
327;47;189
953;678;530
473;266;58
53;108;226
773;415;796
13;449;955
922;287;87
448;80;729
964;323;718
271;210;925
975;132;308
26;292;250
834;995;931
211;857;210
447;948;403
322;709;250
853;236;584
4;919;603
765;168;791
714;193;750
95;94;667
673;757;154
258;654;501
217;962;638
852;978;832
978;406;59
996;837;250
303;23;38
556;975;736
305;573;377
939;893;450
737;780;394
631;675;861
966;384;523
196;954;163
837;743;841
344;290;168
417;154;618
922;564;986
775;526;733
395;853;757
918;978;468
242;312;216
539;676;510
409;59;753
666;491;706
405;329;821
769;396;12
855;558;698
415;216;188
330;91;601
191;454;477
343;448;577
616;432;41
540;648;814
281;746;95
933;553;3
360;509;630
579;964;100
485;875;99
14;666;206
116;102;998
740;678;755
162;83;776
944;92;662
868;969;309
117;436;758
373;456;403
723;408;991
359;402;894
834;371;262
292;808;546
649;104;192
410;645;702
149;649;405
870;522;935
723;582;519
568;494;928
209;934;210
643;343;604
711;264;909
823;71;37
365;678;380
238;621;586
765;63;217
512;765;557
105;126;228
641;293;466
111;818;594
937;406;321
554;418;912
72;464;808
619;185;320
504;64;81
682;685;188
959;389;585
856;776;243
358;456;99
954;111;779
809;794;769
559;725;201
304;791;273
23;912;336
698;266;502
891;605;118
310;269;976
761;583;587
503;654;12
769;399;914
492;24;628
349;734;344
343;297;79
539;808;664
735;43;622
752;458;169
705;758;187
814;622;675
563;951;551
229;547;674
601;645;617
744;63;367
276;852;652
68;502;366
845;494;544
62;633;731
657;497;798
940;286;330
914;783;499
163;516;95
873;815;911
968;375;465
444;340;892
632;324;699
501;858;432
757;7;400
867;438;98
964;338;682
520;771;242
366;566;239
533;608;308
192;639;594
427;125;617
622;866;211
137;875;26
169;385;229
919;728;897
865;441;4
757;279;746
806;153;920
398;714;804
330;726;898
20;124;419
195;563;933
164;949;8
958;359;658
737;751;823
884;883;474
613;645;142
389;497;478
465;743;356
98;147;915
782;700;870
123;132;120
293;746;369
258;385;410
164;273;530
20;417;482
514;525;809
926;478;517
10;892;19
406;924;555
987;556;14
909;631;60
71;5;281
956;154;414
762;266;483
162;930;262
153;788;401
230;408;940
449;368;503
871;345;874
417;113;372
456;891;267
30;420;284
990;890;577
151;706;992
378;630;607
644;300;281
82;466;546
851;59;186
328;481;909
306;627;787
682;642;123
696;860;554
4;693;262
170;284;330
876;712;603
853;441;109
484;784;648
168;189;262
688;806;816
731;94;912
154;704;221
980;8;554
355;457;970
61;291;542
70;123;757
52;881;137
83;319;933
517;785;491
896;467;69
963;866;480
189;354;466
325;331;517
42;809;127
39;867;554
668;139;20
365;593;829
105;904;890
929;318;117
782;513;514
763;992;987
571;545;578
459;567;85
283;171;816
759;502;902
88;7;25
685;349;863
582;739;364
527;486;548
799;69;305
601;655;234
317;351;66
772;619;318
330;560;436
495;410;442
184;158;182
546;225;544
186;692;83
612;803;768
115;966;918
463;426;626
722;220;789
362;135;257
592;942;781
320;11;311
645;256;304
848;393;782
437;269;941
312;719;485
552;802;49
806;158;746
466;581;833
153;306;504
339;447;590
617;382;862
289;456;165
266;860;782
98;735;463
119;436;180
268;90;187
663;47;792
43;718;879
896;517;330
838;273;793
701;9;223
485;282;710
470;637;422
678;731;730
646;848;95
292;320;607
502;11;427
371;546;960
540;59;172
635;236;257
398;981;284
898;901;279
237;833;602
274;949;311
326;661;693
7;773;872
946;325;275
789;571;265
107;936;487
110;723;774
662;965;985
205;32;470
611;948;898
678;653;322
742;337;20
137;52;126
36;244;780
311;890;623
30;769;68
476;273;368
186;71;796
43;894;77
874;341;788
582;622;749
537;287;94
644;113;292
934;811;994
622;972;585
103;253;413
428;378;378
522;37;121
698;138;549
410;785;698
884;779;727
987;389;210
626;291;904
579;290;20
968;50;737
428;64;5
66;111;971
654;86;223
612;535;809
22;59;795
708;268;823
533;247;586
422;514;588
706;1;222
568;374;23
866;746;286
47;842;553
295;252;151
695;236;287
78;419;94
533;223;323
334;490;582
364;578;763
964;708;697
769;536;869
492;660;888
439;668;565
74;241;863
837;847;519
69;657;783
168;353;31
334;731;577
119;735;279
640;575;898
414;852;162
331;124;182
536;740;503
554;358;436
229;679;456
423;446;694
828;332;800
162;323;35
344;189;815
405;642;78
741;616;205
630;557;570
243;401;917
233;924;974
921;120;242
521;698;191
171;739;735
63;481;352
816;800;818
351;962;340
276;163;314
579;570;478
56;627;619
126;267;348
805;125;196
439;945;727
833;124;561
250;50;458
323;960;784
654;327;883
315;863;119
617;487;736
951;550;816
389;674;136
974;826;297
538;699;228
264;76;884
947;304;571
175;880;229
709;888;563
254;157;279
362;396;899
865;829;32
863;865;915
169;329;564
563;962;430
956;419;308
784;889;934
868;260;888
624;246;287
918;172;210
861;501;974
60;612;125
748;49;334
253;190;342
13;45;849
140;410;701
878;161;174
961;407;783
690;867;545
333;17;788
795;664;229
459;972;98
407;113;976
960;252;823
954;629;775
912;555;849
790;438;564
616;944;555
331;28;137
975;757;125
428;365;902
651;197;577
578;582;871
999;735;609
729;285;85
970;91;159
17;786;594
335;459;858
155;102;211
682;999;123
559;18;703
408;86;63
987;784;133
486;781;751
578;230;883
454;53;481
182;610;868
799;589;694
44;46;630
469;250;734
572;319;246
644;384;384
669;848;174
766;984;213
395;913;909
543;300;901
122;693;943
905;813;252
985;413;64
978;585;683
713;585;80
271;810;390
764;500;793
471;568;173
168;177;966
359;752;955
892;472;125
946;191;17
856;913;733
968;957;399
24;884;6
991;404;254
352;311;651
393;937;942
555;849;754
987;701;13
408;437;132
795;441;524
809;600;259
260;38;130
991;165;722
315;252;556
259;374;75
883;589;490
571;983;288
471;753;547
904;80;461
406;828;683
330;741;390
292;884;502
272;832;872
917;501;667
954;951;870
375;190;473
572;520;783
512;153;853
220;392;157
800;779;644
58;986;535
362;447;965
476;832;751
597;220;259
384;807;902
739;94;182
377;620;208
950;214;360
141;966;603
655;220;568
304;619;732
67;106;428
765;356;459
434;236;227
682;297;201
489;520;736
11;367;37
534;661;558
146;163;760
387;333;656
637;467;68
351;271;762
27;187;217
148;602;819
856;989;906
515;464;669
785;549;352
864;978;741
321;863;916
598;232;346
717;904;325
114;483;400
183;748;843
717;131;573
745;915;629
120;12;412
851;271;728
699;238;151
204;589;324
121;182;498
15;251;344
882;603;579
778;252;897
19;217;997
287;851;879
312;208;951
512;54;845
692;924;916
27;914;583
6;547;602
594;541;793
157;855;574
604;994;228
204;443;60
51;288;320
672;801;278
158;408;908
65;939;84
954;511;694
664;614;365
565;821;793
698;357;432
754;426;501
674;936;728
405;751;61
704;625;132
807;336;331
995;351;159
933;991;483
310;823;380
810;467;606
197;432;658
910;900;105
381;400;859
704;964;54
891;761;635
753;184;546
288;407;568
582;172;818
748;651;106
400;874;886
285;905;436
92;259;202
897;166;14
578;722;775
777;771;291
985;375;47
306;551;884
411;83;321
116;336;825
85;433;14
536;976;161
321;670;491
581;211;327
449;36;464
904;46;36
128;789;534
981;47;413
187;930;272
247;775;992
693;930;866
299;941;19
308;847;916
696;829;775
702;710;240
356;736;66
963;284;864
183;93;702
227;948;63
566;34;289
73;562;729
62;597;777
471;805;200
195;738;549
903;813;141
720;994;474
270;27;927
23;739;687
949;62;187
583;10;870
746;690;977
375;974;216
584;785;618
402;429;511
533;674;860
321;634;305
118;491;553
386;363;797
173;40;790
446;965;317
236;381;766
909;243;387
234;80;223
997;922;910
624;974;181
871;774;468
406;351;473
37;428;1
944;288;120
247;406;989
638;29;564
48;845;293
861;521;220
562;346;780
94;542;851
286;425;103
581;844;29
305;139;877
846;447;687
542;994;446
402;126;433
568;966;297
24;649;323
611;846;958
924;804;138
483;729;973
669;340;929
876;670;525
327;882;304
498;564;444
171;424;983
465;787;176
291;750;812
845;39;295
43;932;964
689;441;915
363;473;157
511;561;488
