1D;2D;3D;4D
323;79;37;64
341;59;46;83
314;100;49;59
273;31;79;20
267;95;87;56
315;3;11;74
282;99;60;55
350;53;81;84
323;76;6;75
275;86;17;60
271;13;59;96
334;46;94;19
310;33;50;59
267;24;25;70
280;60;60;90
318;13;96;96
341;34;20;94
265;85;90;47
308;28;52;79
298;31;55;26
294;16;47;53
295;48;25;2
348;27;95;84
251;83;33;29
276;95;9;15
340;20;49;20
268;27;20;49
302;30;29;54
297;99;64;7
321;96;68;87
330;48;84;7
259;63;81;35
330;55;91;89
313;82;3;72
290;74;83;44
276;57;8;33
312;37;55;59
327;96;43;12
330;94;15;28
267;79;99;41
289;31;100;61
278;15;6;92
291;47;70;18
339;11;25;85
328;50;90;93
346;66;31;17
267;87;46;68
346;87;7;87
318;94;58;44
259;90;80;63
295;66;2;90
267;14;84;88
285;39;24;93
310;22;63;13
341;64;91;13
283;39;86;98
325;90;35;15
341;29;89;35
284;74;77;65
325;17;24;53
332;10;83;61
264;79;62;63
341;54;77;71
285;12;40;79
296;49;24;90
344;95;13;15
303;10;68;30
261;41;28;27
265;58;84;61
332;46;68;77
302;44;24;56
269;47;55;90
286;87;57;50
264;91;3;5
308;49;45;70
285;5;27;11
278;45;56;24
277;70;30;51
312;7;5;72
286;67;57;95
339;31;51;36
314;19;8;99
267;64;74;3
259;13;10;99
317;14;93;40
308;69;62;3
281;24;7;69
288;81;90;56
296;3;21;45
288;73;19;45
307;78;55;94
280;6;36;83
321;25;16;58
259;8;38;23
296;52;72;45
314;84;1;83
332;72;37;7
298;65;94;5
332;95;34;57
350;43;85;18
325;55;70;37
318;1;80;16
277;24;58;82
272;16;98;56
337;34;41;84
302;21;58;42
292;90;13;57
274;77;79;9
262;60;62;57
266;65;27;47
273;74;66;64
320;11;37;79
284;64;15;68
323;90;71;42
320;82;3;85
258;95;52;73
268;63;34;5
317;45;55;85
273;91;99;18
278;58;74;23
334;59;51;62
264;10;54;43
288;70;80;7
279;10;72;100
290;56;46;13
298;38;65;95
277;37;88;92
318;57;70;15
255;13;94;6
261;9;27;54
296;44;88;30
345;99;70;53
319;10;55;64
296;19;21;96
257;7;10;84
349;42;36;10
301;21;42;85
272;51;31;12
313;36;78;88
342;78;28;11
252;15;18;86
314;84;83;51
309;65;6;82
301;24;40;99
273;83;83;61
281;70;48;40
334;72;10;79
252;7;50;57
259;29;39;88
274;35;75;25
331;8;66;16
250;73;1;43
281;15;78;12
267;3;30;12
261;73;3;65
307;74;44;57
345;5;96;76
315;43;71;39
270;78;41;39
275;53;86;97
321;67;20;67
300;2;77;83
337;27;92;78
348;54;9;46
298;66;4;59
297;16;45;74
305;30;85;80
287;86;80;35
341;61;72;48
278;77;41;66
300;95;84;69
274;52;39;41
253;7;62;78
294;87;29;82
305;9;36;58
278;59;71;11
273;66;91;66
320;5;41;41
289;23;32;70
322;87;10;39
292;20;97;82
290;72;28;93
309;12;55;85
272;55;82;6
314;7;82;77
344;100;9;58
315;85;37;76
281;38;48;92
328;38;50;34
324;87;80;76
283;95;85;92
293;72;5;54
320;74;81;46
279;17;79;94
289;56;59;45
288;64;32;77
252;85;97;10
329;87;95;47
274;22;24;20
271;22;87;18
302;82;70;62
325;87;72;80
262;3;31;95
251;36;88;35
308;2;7;2
335;37;84;20
283;39;64;54
311;48;52;69
323;92;4;18
339;9;99;51
258;31;29;49
308;98;72;47
308;59;64;45
293;20;29;17
292;88;89;13
286;39;4;75
282;29;22;97
302;17;65;24
282;36;43;56
330;71;31;12
265;11;55;76
346;22;65;2
348;54;7;96
323;64;67;81
332;31;44;3
314;17;55;41
304;43;5;85
339;58;68;49
298;26;61;52
314;34;67;19
348;46;49;4
253;17;88;4
328;32;15;83
327;96;39;32
311;72;64;19
348;37;52;10
281;50;61;81
317;59;18;6
257;27;86;72
317;44;63;97
254;4;44;66
334;1;81;99
343;84;65;28
314;95;64;93
344;38;58;64
347;29;87;76
334;84;80;40
268;57;89;90
280;41;25;42
320;80;43;4
286;71;34;8
293;85;68;52
282;26;92;47
259;48;63;28
308;2;26;80
313;13;52;32
317;74;7;93
346;46;30;27
254;27;99;67
278;34;15;42
334;64;21;90
283;4;37;81
277;88;92;73
301;45;14;75
288;32;59;24
341;42;84;69
298;88;53;9
334;11;95;81
328;41;16;10
285;20;16;95
343;79;8;90
322;65;75;77
275;44;43;60
306;86;43;16
293;79;10;32
319;44;32;27
309;47;17;61
344;47;89;24
317;20;63;87
284;12;55;4
287;12;1;86
324;3;4;28
254;6;60;35
307;49;82;20
267;35;31;51
335;86;6;55
306;92;90;25
342;17;50;71
263;62;15;25
258;4;79;42
328;89;10;40
259;90;54;82
251;64;33;84
275;35;59;3
